ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.175431084010447
CBC_1002,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.370773296894702
CBC_1003,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.521264311651116
CBC_1005,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.212718363900832
CBC_1006,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.301494980489157
CBC_1007,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.736140683621095
CBC_1013,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.00337724962153503
CBC_1014,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.12134669785531
CBC_1015,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.0710780779581852
CBC_1016,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.225921069031258
CBC_1017,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.152478760908001
CBC_1019,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.286605748215206
CBC_1020,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.512522182368266
CBC_1024,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.252807867345509
CBC_1027,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.199808434414591
CBC_1029,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.240156151826824
CBC_1032,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,1.04039480161702
CBC_1033,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.0341377242578588
CBC_1036,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.0183887676439635
CBC_1037,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.164169280905581
CBC_1039,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.268393867392823
CBC_1040,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.0443750731906381
CBC_1046,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.46970786311534
CBC_1047,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.109250771637847
CBC_1049,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,1.35357001471604
CBC_1051,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.498643022043293
CBC_1055,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.212059083935412
CBC_1056,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.362063571668002
CBC_1057,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.476417155372286
CBC_1058,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.00327427874275668
CBC_1062,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.161176409914365
CBC_1063,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,1.12399827175185
CBC_1065,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.546197257733516
CBC_1069,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.291198011297795
CBC_1072,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.280608057351939
CBC_1074,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.262733260673756
CBC_1075,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.20734194518108
CBC_1077,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.574252909633412
CBC_1080,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.264759543679976
CBC_1083,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.468165148869616
CBC_1084,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.0154799882072066
CBC_1086,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.540218139796309
CBC_1095,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.173778887707831
CBC_1098,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.558305679328218
CBC_1101,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.286813793421768
CBC_1102,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.394755751027818
CBC_1104,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.25422904032893
CBC_1105,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,1.4587026323188
CBC_1106,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.494457858214171
CBC_1107,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.130012970576364
CBC_1109,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.26978422117838
CBC_1116,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.44332039266108
CBC_1133,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.131951358449576
CBC_1142,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.0611839664030053
CBC_1143,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.0709520750361112
CBC_1144,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,-0.0572255703604049
CBC_1149,unexpected,Unexpected_uniform_35_-57_44_roi.mat,AV,right,superior parietal lobe,10,0.473005001071015
CBC_1001,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0876066386885914
CBC_1002,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.309441249927993
CBC_1003,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.221182681167779
CBC_1005,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.454074641663119
CBC_1006,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.225541850727913
CBC_1007,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.275646362144914
CBC_1013,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0520204072057776
CBC_1014,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0553363189890669
CBC_1015,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.435746404722214
CBC_1016,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.143998654687137
CBC_1017,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.18987450346093
CBC_1019,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.40171707868443
CBC_1020,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.133260726375694
CBC_1024,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.0519209914979615
CBC_1027,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.686647091170125
CBC_1029,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0343899281856186
CBC_1032,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.354631771244602
CBC_1033,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.36831517400701
CBC_1036,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.399367138011635
CBC_1037,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.626863994139323
CBC_1039,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.707467707370354
CBC_1040,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.25716204081436
CBC_1046,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.112121312709677
CBC_1047,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0700924976179946
CBC_1049,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0981715300996271
CBC_1051,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.0292843107833809
CBC_1055,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.44799248800956
CBC_1056,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.236080814723241
CBC_1057,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.55119658401847
CBC_1058,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.21629118720412
CBC_1062,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.937894972850021
CBC_1063,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.0171285094995692
CBC_1065,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.383259203068926
CBC_1069,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.163661467141682
CBC_1072,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.27286438536988
CBC_1074,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0796604964536884
CBC_1075,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.340692499017158
CBC_1077,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.0239466933126524
CBC_1080,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.379207563700451
CBC_1083,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.24657290151919
CBC_1084,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.447477815488853
CBC_1086,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.33129003066276
CBC_1095,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.173810942168795
CBC_1098,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.647353828817153
CBC_1101,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,-0.53359410469124
CBC_1102,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.458753365146319
CBC_1104,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.405654027828947
CBC_1105,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.802421756259302
CBC_1106,unexpected,Unexpected_uniform_35_-57_44_roi.mat,TV,right,superior parietal lobe,10,0.491073920472906
