ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.0525847528420215
CBC_P005,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.111902523122185
CBC_P006,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.389482941578182
CBC_P007,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0372566728286047
CBC_P009,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.173263437968828
CBC_P010,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0547069796325259
CBC_P013,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.642080327824763
CBC_P014,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.39495803677274
CBC_P015,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.0485592395458033
CBC_P016,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.07032416462635
CBC_P017,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.421644972501681
CBC_P018,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.280792618541538
CBC_P019,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.0593864411110569
CBC_P020,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.295094430437026
CBC_P022,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.43344518524783
CBC_P026,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-1.09782798788662
CBC_P027,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-1.02465566557529
CBC_P029,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.568135347484534
CBC_P030,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.397606318610962
CBC_P031,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.3513496178711
CBC_P034,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.12165738176893
CBC_P035,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.00970374163200265
CBC_P036,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.402459749543143
CBC_P037,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.292307833906161
