ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.20432558672752
CBC_1002,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.352714957238256
CBC_1003,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.13148804018276
CBC_1005,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0301085889839466
CBC_1006,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.799212996925246
CBC_1007,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.624888136744439
CBC_1013,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.403618296911447
CBC_1014,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.698017638098505
CBC_1015,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.254811673526496
CBC_1016,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.00568102825317776
CBC_1017,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.290809445822902
CBC_1019,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0621866096538976
CBC_1020,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.274318544611423
CBC_1024,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.296436304906756
CBC_1027,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.621095140638198
CBC_1029,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.105800883454843
CBC_1032,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.465268040362791
CBC_1033,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.218943057885591
CBC_1036,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.0880286374588995
CBC_1037,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.475559801875132
CBC_1039,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.559715955403549
CBC_1040,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.166967247140968
CBC_1046,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.248155008150754
CBC_1047,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.34637031996303
CBC_1049,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-1.08101518741138
CBC_1051,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.671845506039423
CBC_1055,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,1.17804520079395
CBC_1056,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.483235245665821
CBC_1057,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,1.63464535391202
CBC_1058,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.176840809795968
CBC_1062,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.553730528101392
CBC_1063,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.162693666537196
CBC_1065,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0865329656723613
CBC_1069,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.20920658522698
CBC_1072,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0362940677166456
CBC_1074,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.580159570495072
CBC_1075,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.276252442388563
CBC_1077,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.637539774881069
CBC_1080,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0269442147437854
CBC_1083,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.137347503906216
CBC_1084,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0200261622730465
CBC_1086,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.155465442964337
CBC_1095,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.520975587374816
CBC_1098,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.0179113623248927
CBC_1101,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.565381087805039
CBC_1102,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.76803979724484
CBC_1104,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,1.33795178949617
CBC_1105,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-1.24821938684153
CBC_1106,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.170285244058015
CBC_1107,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.300092585809557
CBC_1109,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.15890784265605
CBC_1116,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.5152732242483
CBC_1133,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.410321127385338
CBC_1142,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,0.271052074555176
CBC_1143,unexpected,Unexpected_uniform_41_21_-1_roi.mat,AV,right,anterior insula,11,-0.127361682387701
