ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.460172125375677
CBC_P005,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.33047906198274
CBC_P006,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.131056566082418
CBC_P007,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.158261497708114
CBC_P009,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.0855232095638764
CBC_P010,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.294312189800897
CBC_P013,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.140293076831091
CBC_P014,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.517463856888884
CBC_P015,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.0834761733834626
CBC_P016,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.486272842864888
CBC_P017,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.164249629260049
CBC_P018,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.616362102615109
CBC_P019,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-1.19624116968321
CBC_P020,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.00800886025787552
CBC_P022,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.262673912588421
CBC_P026,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.978656413916187
CBC_P027,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.275479980370438
CBC_P029,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.358351198722899
CBC_P030,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.906052976361406
CBC_P031,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.173201590789697
CBC_P034,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.437919251309083
CBC_P035,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.759240554537984
CBC_P036,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.0249548622274588
CBC_P037,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.433083818324076
CBC_P038,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.42144612147891
CBC_P039,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.949265770510842
CBC_P040,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.14511904240756
CBC_P041,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.984717256066407
CBC_P004,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.161503918898189
CBC_P005,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.0409410170662783
CBC_P006,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.501568627658358
CBC_P007,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.234837858814386
CBC_P009,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.743371454747173
CBC_P010,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.638890474596339
CBC_P013,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.330933309978651
CBC_P014,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.650740539308755
CBC_P015,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.022928952335814
CBC_P016,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.100217113490773
CBC_P017,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.153502670537952
CBC_P018,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,2.33343466645743
CBC_P019,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,1.2032202767228
CBC_P020,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.421712486547082
CBC_P022,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.0136650002185239
CBC_P026,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.0137248753059378
CBC_P027,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.119298998871231
CBC_P029,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.315248232344238
CBC_P030,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.0719287099074819
CBC_P031,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.31374863345382
CBC_P034,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.640025780372941
CBC_P035,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.337901775866006
CBC_P036,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.228643936300514
CBC_P037,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.0875188714418353
CBC_P038,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.0903569519308876
CBC_P039,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.8358850878015
CBC_P040,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,-0.048631984278984
CBC_P041,unexpected,Unexpected_uniform_46_24_28_roi.mat,TV,right,middle frontal gyrus,12,0.142441363946991
