ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.11507347253518
CBC_1002,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.583312384661039
CBC_1003,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.3989941117384
CBC_1005,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.185745616653575
CBC_1006,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.85941072187583
CBC_1007,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.46649365114838
CBC_1013,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.12462936363203
CBC_1014,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.0105088566528273
CBC_1015,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.172173737792602
CBC_1016,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.063526631947286
CBC_1017,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.304735098256827
CBC_1019,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.0961883997541021
CBC_1020,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.277864003350018
CBC_1024,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.391599384554414
CBC_1027,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.157094143469974
CBC_1029,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.551854782032409
CBC_1032,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,2.04035611816526
CBC_1033,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.00809888876268989
CBC_1036,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.148666474799738
CBC_1037,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.174630928566385
CBC_1039,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.516433989515349
CBC_1040,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.433778041358241
CBC_1046,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.448747802858972
CBC_1047,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.275922131726718
CBC_1049,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.406074161179013
CBC_1051,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.31458338458306
CBC_1055,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.0159740008891993
CBC_1056,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.36702428022048
CBC_1057,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.644510806118359
CBC_1058,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.996187829571965
CBC_1062,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.551941729013151
CBC_1063,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.573950308881329
CBC_1065,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.305001802855229
CBC_1069,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.283337174576972
CBC_1072,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.0673681696858659
CBC_1074,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.307164983776663
CBC_1075,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.123242071044267
CBC_1077,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.52962698395202
CBC_1080,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.271122454849311
CBC_1083,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.508640966860668
CBC_1084,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.321447249581938
CBC_1086,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,-0.58391645621697
CBC_1095,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.346076006009829
CBC_1098,unexpected,Unexpected_uniform_46_24_28_roi.mat,AV,right,middle frontal gyrus,12,0.46725734672901
