ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.980012122964004
CBC_P005,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.126288306434458
CBC_P006,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.173021218016339
CBC_P007,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.486973299753929
CBC_P009,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.140334515381369
CBC_P010,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.124929295785028
CBC_P013,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0881046463923139
CBC_P014,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0375813035198289
CBC_P015,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.159222173369685
CBC_P016,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0192129269271779
CBC_P017,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.33981545839002
CBC_P018,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.349868531077981
CBC_P019,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.345123499968698
CBC_P020,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.170015287484964
CBC_P022,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.373017682294971
CBC_P026,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.455250564226138
