ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0154011002079652
CBC_1002,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.325791521399015
CBC_1003,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.48814525511195
CBC_1005,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.151215172206395
CBC_1006,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.14592269630146
CBC_1007,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0688388634449327
CBC_1013,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.733463328884586
CBC_1014,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.427023808870375
CBC_1015,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0795970910527032
CBC_1016,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0176691201090306
CBC_1017,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.211107326562469
CBC_1019,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0147466762981553
CBC_1020,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.417986369976695
CBC_1024,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0904185526964923
CBC_1027,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.372422684210729
CBC_1029,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0589384352083134
CBC_1032,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.664804278579206
CBC_1033,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0366812563701419
CBC_1036,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0108251902906
CBC_1037,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.199640565797362
CBC_1039,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.304020192990601
CBC_1040,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0840956502772146
CBC_1046,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.462316477837501
CBC_1047,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0461342373589036
CBC_1049,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.30533393322842
CBC_1051,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0792150477053515
CBC_1055,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.792084127789782
CBC_1056,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.582614370079508
CBC_1057,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.588811781469106
CBC_1058,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.770021041659751
CBC_1062,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.870787556394806
CBC_1063,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.00701073638438215
CBC_1065,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.120699403931612
CBC_1069,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0322377175520172
CBC_1072,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0443023598296179
CBC_1074,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.263146762611549
CBC_1075,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0592215859440985
CBC_1077,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.130891541614049
CBC_1080,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.162818011115167
CBC_1083,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.180451214980757
CBC_1084,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.050178694854069
CBC_1086,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.224366379812233
CBC_1095,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.0614647672059832
CBC_1098,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.11446536316966
CBC_1101,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.338140412359136
CBC_1102,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.228106489190077
CBC_1104,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.385973355215194
CBC_1105,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.213773213898311
CBC_1106,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.147792516722039
CBC_1107,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0553071571875706
CBC_1109,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.0114544436604238
CBC_1116,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.11776396057485
CBC_1133,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.179728511943909
CBC_1142,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.175737350179424
CBC_1143,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.138204460968213
CBC_1144,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,-0.384950936152752
CBC_1149,unexpected,Unexpected_uniform_60_-43_20_roi.mat,AV,right,superior temporal gyrus,13,0.375704455376049
CBC_1001,unexpected,Unexpected_uniform_60_-43_20_roi.mat,TV,right,superior temporal gyrus,13,0.32413314886491
CBC_1002,unexpected,Unexpected_uniform_60_-43_20_roi.mat,TV,right,superior temporal gyrus,13,0.307757593975823
