ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.560003689267954
CBC_P005,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.292773538150377
CBC_P006,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.0502389424513236
CBC_P007,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.389844557974851
CBC_P009,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.141925546437388
CBC_P010,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.159709979579924
CBC_P013,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.772716238149313
CBC_P014,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.181484728467939
CBC_P015,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.209206816992476
CBC_P016,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.185897502344013
CBC_P017,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.527681073055838
CBC_P018,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.101125814088379
CBC_P019,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.466361644599844
CBC_P020,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.0905343823605505
CBC_P022,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.55506968274317
CBC_P026,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-1.01645330287739
CBC_P027,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.696996817802782
CBC_P029,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.527975956385803
CBC_P030,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.0998108988543262
CBC_P031,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.123634462982568
CBC_P034,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.131931913864713
CBC_P035,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.166982303255062
CBC_P036,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.0186460075097996
CBC_P037,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.197927249754774
CBC_P038,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.817579600175947
CBC_P039,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.55281250191665
CBC_P040,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.355408415566141
CBC_P041,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.0901367618958986
CBC_P004,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.169771646865442
CBC_P005,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.0362606266035819
CBC_P006,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.0316529725312442
CBC_P007,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.150486914045281
CBC_P009,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.154059872854907
CBC_P010,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.0589195719102875
CBC_P013,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.11780475871162
CBC_P014,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.27383433926233
CBC_P015,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.314815400972345
CBC_P016,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.0810778047085368
CBC_P017,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-1.02338344951508
CBC_P018,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.224001698342824
CBC_P019,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.612489169054824
CBC_P020,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.134508870226555
CBC_P022,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.334778332534715
CBC_P026,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.152389138881991
CBC_P027,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.0265579455933698
CBC_P029,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,0.173250528610035
CBC_P030,unexpected,Unexpected_uniform_-26_9_2_roi.mat,TV,left,"striatum, thalamus, anterior insula",1,-0.00679455514438843
