ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.144694956302971
CBC_1002,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.264711270225156
CBC_1003,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.134300468193114
CBC_1005,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.040976153688779
CBC_1006,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.218673367109331
CBC_1007,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.0639891200374691
CBC_1013,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.194063685553345
CBC_1014,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.0734987190882624
CBC_1015,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.206216146038591
CBC_1016,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.0420422096680746
CBC_1017,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,0.17487348872006
CBC_1019,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.113090076558703
CBC_1020,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.131747746299275
CBC_1024,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.117813955270415
CBC_1027,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.350955343267916
CBC_1029,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.146432078822893
CBC_1032,unexpected,Unexpected_uniform_-26_9_2_roi.mat,AV,left,"striatum, thalamus, anterior insula",1,-0.385999840342301
