ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,1.34078161975953
CBC_P005,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.0754374712652696
CBC_P006,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.334628252389637
CBC_P007,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.371800973161012
CBC_P009,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0458475133292219
CBC_P010,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.430838750912724
CBC_P013,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.109124895323757
CBC_P014,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.283659511409044
CBC_P015,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.0199089074166569
CBC_P016,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.366673650549738
CBC_P017,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.611535603560032
CBC_P018,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.148082185039148
CBC_P019,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.355661248455337
CBC_P020,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.0882672127452556
CBC_P022,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.622849570864322
CBC_P026,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.285809984079697
CBC_P027,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.251627335924102
CBC_P029,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.4929630353159
CBC_P030,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.146626246549886
CBC_P031,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.205686838636841
CBC_P034,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.168794656358585
CBC_P035,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0739650697007679
CBC_P036,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.182274313395547
CBC_P037,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.719201606293084
CBC_P038,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.529120954895049
CBC_P039,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.498441605015042
CBC_P040,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.384900012046421
CBC_P041,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.215743281286254
CBC_P004,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.680308046451865
CBC_P005,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.1726410688528
CBC_P006,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.0733271523084227
CBC_P007,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.117077528981934
CBC_P009,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.133551384456419
CBC_P010,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.252844395295654
CBC_P013,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.174801675639197
CBC_P014,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.0760429550875545
CBC_P015,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.181417405194695
CBC_P016,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.0599198207459475
CBC_P017,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,0.319077124905593
CBC_P018,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,TV,left,precentral gyrus,2,1.62616476448092
