ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.12855012289215
CBC_1002,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0472236551262986
CBC_1003,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.651081075065204
CBC_1005,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.181311370388822
CBC_1006,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.364570184079394
CBC_1007,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.103349731906836
CBC_1013,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.137697003632317
CBC_1014,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0674737858875823
CBC_1015,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.112413315501626
CBC_1016,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.294042407022409
CBC_1017,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0814380115673761
CBC_1019,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.107841498081639
CBC_1020,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.183824509075593
CBC_1024,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.277384500782716
CBC_1027,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.205099730203316
CBC_1029,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.155357537118914
CBC_1032,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0580598219172588
CBC_1033,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.631069451869023
CBC_1036,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0419451443341969
CBC_1037,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.237372678699822
CBC_1039,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.292523229115506
CBC_1040,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.107684977401978
CBC_1046,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.628585808657614
CBC_1047,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0544121914884978
CBC_1049,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.568458768249508
CBC_1051,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.110289327509704
CBC_1055,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.143505030807167
CBC_1056,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.0795521984437872
CBC_1057,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.823160368472489
CBC_1058,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.308914607944292
CBC_1062,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.72118383645078
CBC_1063,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.227360768418501
CBC_1065,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.214673345358783
CBC_1069,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.397959633543785
CBC_1072,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.198927181367045
CBC_1074,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.31699623050571
CBC_1075,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.182086680420047
CBC_1077,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.450720156299288
CBC_1080,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.227569949480412
CBC_1083,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.214820823150603
CBC_1084,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,0.105916002841293
CBC_1086,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.188050342913219
CBC_1095,unexpected,Unexpected_uniform_-28_-6_53_roi.mat,AV,left,precentral gyrus,2,-0.325440615585094
