ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,1.03253659519247
CBC_P005,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.323791186145979
CBC_P006,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.0201546219856358
CBC_P007,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.0670001758420557
CBC_P009,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.474545278887773
CBC_P010,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.0500730393493281
CBC_P013,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.0498602230045038
CBC_P014,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,1.22239110724663
CBC_P015,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,1.35487023433107
CBC_P016,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.371454102225022
CBC_P017,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.32297804952106
CBC_P018,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.00914256996430021
CBC_P019,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.583320742460437
CBC_P020,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.410621467751177
CBC_P022,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.872663390961238
CBC_P026,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.326054652809067
CBC_P027,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.914025486816773
CBC_P029,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.120814281005968
CBC_P030,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.0704913827976422
CBC_P031,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.747053345470254
CBC_P034,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.598734931234197
CBC_P035,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.267595756975658
CBC_P036,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.14345502832099
CBC_P037,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.579551969191234
CBC_P038,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.455115820387889
CBC_P039,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.401364639568278
CBC_P040,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.453040852088477
CBC_P041,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.400032680261517
CBC_P004,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,TV,left,superior parietal lobe,3,0.098054381214757
CBC_P005,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,TV,left,superior parietal lobe,3,0.744708414990792
CBC_P006,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,TV,left,superior parietal lobe,3,0.657862528958574
