ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.365237825462951
CBC_1002,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.37077756638498
CBC_1003,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.532545858991422
CBC_1005,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.252546054730193
CBC_1006,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.241865450403886
CBC_1007,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.600760040036868
CBC_1013,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.364734094733493
CBC_1014,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.208013357870511
CBC_1015,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.325778037027542
CBC_1016,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.0634762077118455
CBC_1017,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.00122460982337709
CBC_1019,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.173427808586695
CBC_1020,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.0532740113970797
CBC_1024,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.656763969608569
CBC_1027,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.36222367948731
CBC_1029,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.346323486866581
CBC_1032,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.742742623069911
CBC_1033,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.169097384380369
CBC_1036,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.147485672107738
CBC_1037,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.136229301903778
CBC_1039,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.50961738252579
CBC_1040,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.206914496919987
CBC_1046,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.65894636646947
CBC_1047,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.114037241992657
CBC_1049,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.672831476737701
CBC_1051,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.278417199105853
CBC_1055,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.0688035559332376
CBC_1056,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.0401108665148216
CBC_1057,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.280281876710418
CBC_1058,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.0382999825589051
CBC_1062,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.142522661273868
CBC_1063,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.735395579894471
CBC_1065,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.530654026558097
CBC_1069,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.21930161482351
CBC_1072,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.549138946042954
CBC_1074,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.139757319889606
CBC_1075,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.131559255190242
CBC_1077,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.046988039392108
CBC_1080,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.0732520868932356
CBC_1083,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.529318567700812
CBC_1084,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.391711268055173
CBC_1086,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.34867489395321
CBC_1095,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.212126696259297
CBC_1098,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,0.431793457285174
CBC_1101,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.561625248539962
CBC_1102,unexpected,Unexpected_uniform_-30_-58_44_roi.mat,AV,left,superior parietal lobe,3,-0.63083098985924
