ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.057651340071709
CBC_1002,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.125339537923211
CBC_1003,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.0758620332834539
CBC_1005,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,-0.361338488050481
CBC_1006,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.245094093101349
CBC_1007,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,-0.398318758172124
CBC_1013,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,-0.110993432946043
CBC_1014,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.169297165835954
CBC_1015,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.281383385512121
CBC_1016,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.166667853386282
CBC_1017,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.420320219161554
CBC_1019,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.106710472273874
CBC_1020,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.557173519570824
CBC_1024,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,-0.484525491157527
CBC_1027,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,-0.464672868654841
CBC_1029,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.210099200016573
CBC_1032,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,-0.101323805555511
CBC_1033,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.327533669295562
CBC_1036,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.441304084172217
CBC_1037,unexpected,Unexpected_uniform_-48_-27_8_roi.mat,AV,left,planum temporale,4,0.301512732611132
