ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,1.431595463474
CBC_P005,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.228430416119867
CBC_P006,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.920052966023044
CBC_P007,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.0548177099536905
CBC_P009,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.162356192594381
CBC_P010,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.353023939256806
CBC_P013,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.202547313850299
CBC_P014,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.696976536661614
CBC_P015,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,1.03350440259206
CBC_P016,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.310430758829885
CBC_P017,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.62600748556882
CBC_P018,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.520994629177477
CBC_P019,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.537409540301201
CBC_P020,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.674842288363564
CBC_P022,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.669147351609487
CBC_P026,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.673957062053153
CBC_P027,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.107614128398565
CBC_P029,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.202484741706723
CBC_P030,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.244689876960585
CBC_P031,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.105031329852031
CBC_P034,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.293484249322603
CBC_P035,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.141093688626713
CBC_P036,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.828446999051176
CBC_P037,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.753767997124965
CBC_P038,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.312973337401219
CBC_P039,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.616010218050195
CBC_P040,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.301703286089342
CBC_P041,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.332278875913401
CBC_P004,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,-0.138909365002268
CBC_P005,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.479239731131062
CBC_P006,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,-0.00279322738860088
CBC_P007,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.534624804092962
CBC_P009,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,1.19167221968948
CBC_P010,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.732899082001561
CBC_P013,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.108928973994491
CBC_P014,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,-0.12812998008684
CBC_P015,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.142900784460327
CBC_P016,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.0104567683743735
CBC_P017,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,-0.465527684961198
CBC_P018,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.636444970503566
CBC_P019,unexpected,Unexpected_uniform_-48_12_29_roi.mat,TV,left,middle frontal gyrus,5,0.802692636477981
