ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.0154355669559755
CBC_1002,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.0332452099659892
CBC_1003,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.531649877766998
CBC_1005,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.0551025620371818
CBC_1006,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.346303262395813
CBC_1007,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.40915913789663
CBC_1013,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.116054641527886
CBC_1014,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.16472282231718
CBC_1015,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.749715531924324
CBC_1016,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.0031792240218929
CBC_1017,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.571719612035667
CBC_1019,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.0848720545749547
CBC_1020,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.0807860507902471
CBC_1024,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.044261490237111
CBC_1027,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.292846999641504
CBC_1029,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.357449287473851
CBC_1032,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.700920017296615
CBC_1033,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.0916788052788924
CBC_1036,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.175154315342401
CBC_1037,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.416545311253679
CBC_1039,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.711422049486459
CBC_1040,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.186861482748064
CBC_1046,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.0292412357084733
CBC_1047,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,0.0691209654367159
CBC_1049,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.040856067033142
CBC_1051,unexpected,Unexpected_uniform_-48_12_29_roi.mat,AV,left,middle frontal gyrus,5,-0.11532919407861
