ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.561051070164281
CBC_P005,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.131131662537163
CBC_P006,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.0117453761499558
CBC_P007,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.539498656617725
CBC_P009,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0547094267797078
CBC_P010,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.397752649934745
CBC_P013,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.127704869102244
CBC_P014,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.242464509677532
CBC_P015,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.67936061240399
CBC_P016,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.13218056646782
CBC_P017,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.136060755851449
CBC_P018,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.972691152423312
CBC_P019,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.041175484667807
CBC_P020,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0481169669224184
CBC_P022,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0379116338656109
CBC_P026,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.186758375707257
CBC_P027,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.139613288751221
CBC_P029,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.403435479177859
CBC_P030,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.374203889973695
CBC_P031,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,1.24796517388107
CBC_P034,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.163603587480454
CBC_P035,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.180885572102145
CBC_P036,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.146613357821868
CBC_P037,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.172560682899923
CBC_P038,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.294811164419575
CBC_P039,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0915037286706184
CBC_P040,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0220130820002519
CBC_P041,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.379257838891813
CBC_P004,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.186477976822069
CBC_P005,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.0967259356280996
