ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.248084804265349
CBC_1002,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.795420667464113
CBC_1003,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.345894753063689
CBC_1005,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.325794501748293
CBC_1006,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.98987836815999
CBC_1007,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.0340108914728686
CBC_1013,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.473016025566672
CBC_1014,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.116144638146365
CBC_1015,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.356490098330398
CBC_1016,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.280599724817394
CBC_1017,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.726270261326632
CBC_1019,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0333768907076499
CBC_1020,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.363636839361946
CBC_1024,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.117778389836655
CBC_1027,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.61107746312142
CBC_1029,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.0143780561759215
CBC_1032,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.862460399542488
CBC_1033,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0909301400154858
CBC_1036,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.445765651964147
CBC_1037,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.149458061102302
CBC_1039,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.176769300891573
CBC_1040,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.124630146512955
CBC_1046,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.431838201649684
CBC_1047,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.064505772241427
CBC_1049,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.0589448213977884
CBC_1051,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.485306878914919
CBC_1055,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.102543339756028
CBC_1056,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.165250884177564
CBC_1057,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.77218298825769
CBC_1058,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.416482871792355
CBC_1062,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.65598535184309
CBC_1063,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.166140855391324
CBC_1065,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.619320941845139
CBC_1069,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.531487039910381
CBC_1072,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0672676125915385
CBC_1074,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.130324649364295
CBC_1075,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.199641671172707
CBC_1077,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0902375734277257
CBC_1080,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.205611387261418
CBC_1083,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.344710263244794
CBC_1084,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.213057973658225
CBC_1086,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.202786147414898
CBC_1095,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.508273188197408
CBC_1098,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.186024427153518
CBC_1101,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,1.08294888638923
CBC_1102,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.175374722928729
CBC_1104,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,1.06535641761586
CBC_1105,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.527045142620946
CBC_1106,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.722934743180667
CBC_1107,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0430824142698621
CBC_1109,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.0646062149793187
CBC_1116,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.00634554551686912
CBC_1133,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.231918600811275
CBC_1142,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.239938500044482
CBC_1143,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.166036095731842
CBC_1144,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,-0.469263723999968
CBC_1149,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,AV,left,superior temporal gyrus,6,0.775778228133713
CBC_1001,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.245910878462952
CBC_1002,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.158287696585257
CBC_1003,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.255055250368899
CBC_1005,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.128102741470155
CBC_1006,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.553582640273187
CBC_1007,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.0831524843905931
CBC_1013,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-1.47232910952236
CBC_1014,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.0665083779027999
CBC_1015,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.637812572559083
CBC_1016,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.64617751581229
CBC_1017,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.0175502281914156
CBC_1019,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,-0.288511447740437
CBC_1020,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.0407222162890641
CBC_1024,unexpected,Unexpected_uniform_-58_-52_14_roi.mat,TV,left,superior temporal gyrus,6,0.568541324364177
