ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.729498652218184
CBC_P005,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.121087489219973
CBC_P006,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.528630653868126
CBC_P007,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.372613500672588
CBC_P009,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.138835493097726
CBC_P010,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.143356672346015
CBC_P013,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.336240186749697
CBC_P014,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.45016241182457
CBC_P015,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0413538904725744
CBC_P016,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.408931086676855
CBC_P017,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0519926555582023
CBC_P018,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.128526398326753
CBC_P019,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.469661330328684
CBC_P020,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.398696231015487
CBC_P022,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.259461006802673
CBC_P026,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.933975826092772
CBC_P027,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.100130682210247
CBC_P029,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.179209859624046
CBC_P030,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.282167004789593
CBC_P031,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.97963957552631
CBC_P034,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.380944434314776
CBC_P035,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.241322657501109
CBC_P036,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.614715582436826
CBC_P037,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.135736978689873
CBC_P038,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.301324282004812
CBC_P039,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0396312087636676
CBC_P040,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.469117602599922
CBC_P041,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.330017568045857
CBC_P004,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0849096252379677
CBC_P005,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.466169411594294
CBC_P006,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0375855134507184
CBC_P007,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.532041016317196
CBC_P009,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.0748999452271057
CBC_P010,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.488574387097024
CBC_P013,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.215533254184308
CBC_P014,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.0308017749994693
CBC_P015,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.108442891891157
CBC_P016,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.036193197705551
CBC_P017,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.568778216640393
CBC_P018,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.852218722767036
CBC_P019,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.146139240267148
CBC_P020,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.115915911262412
CBC_P022,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.137953514891452
CBC_P026,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.19125645131402
CBC_P027,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.591565850379372
CBC_P029,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.347442190039212
CBC_P030,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.137955477632076
CBC_P031,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.941873774688283
CBC_P034,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.202722383186015
CBC_P035,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.163961399328881
CBC_P036,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.322931222836409
CBC_P037,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.188296932896717
CBC_P038,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.188384492912726
CBC_P039,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0657284522052434
CBC_P040,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.281155991714737
CBC_P041,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.351716853252789
