ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0129217982253934
CBC_1002,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.843431259338061
CBC_1003,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.16947150891574
CBC_1005,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.0858767274363108
CBC_1006,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.358471098928151
CBC_1007,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.0664897608514896
CBC_1013,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.342925844026816
CBC_1014,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.409253893778247
CBC_1015,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.0569189892308265
CBC_1016,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.365990948096198
CBC_1017,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0929235804541893
CBC_1019,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.138822963971829
CBC_1020,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.112541965186686
CBC_1024,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.427212144431109
CBC_1027,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.186487244293652
CBC_1029,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.294265110815342
CBC_1032,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0625332279074224
CBC_1033,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.325008797185085
CBC_1036,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.127845659042877
CBC_1037,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.163656882565461
CBC_1039,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.489873681199517
CBC_1040,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0495765542257384
CBC_1046,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.358309055921482
CBC_1047,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.474658501874017
CBC_1049,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.302045559601729
CBC_1051,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.639261601522691
CBC_1055,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.113626840856584
CBC_1056,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.243214516955838
CBC_1057,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.323880906878283
CBC_1058,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.218581096557271
CBC_1062,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.375550467446668
CBC_1063,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.460815488185627
CBC_1065,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.79511465689938
CBC_1069,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.391034023959625
CBC_1072,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.285119526491422
CBC_1074,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.0222320476414512
CBC_1075,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0858523676459022
CBC_1077,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.035758263744402
CBC_1080,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.399909222965949
CBC_1083,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.323067714849741
CBC_1084,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.109697074192755
CBC_1086,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.280599997658502
CBC_1095,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.4253751185577
CBC_1098,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.433340536964825
CBC_1101,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.28220784739027
CBC_1102,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.0457979466983743
CBC_1104,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.00751595411798977
CBC_1105,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.655161908256285
CBC_1106,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.0833775716887894
CBC_1107,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.432653652478761
CBC_1109,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.197937791791364
CBC_1116,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.332382878985987
CBC_1133,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.146063753134246
CBC_1142,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.175909748309109
CBC_1143,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.314812415849882
CBC_1144,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,-0.000813091641495405
CBC_1149,unexpected,Unexpected_uniform_11_-13_6_roi.mat,AV,right,thalamus,7,0.301934373524149
CBC_1001,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.24089228506491
CBC_1002,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.0891000080918767
CBC_1003,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.0899610272877345
CBC_1005,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.0373256216301661
CBC_1006,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.355813275493486
CBC_1007,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.162148462134095
CBC_1013,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.123050119525613
CBC_1014,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0741232670480225
CBC_1015,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.00987716480726908
CBC_1016,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0254277841127362
CBC_1017,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0127374956493619
CBC_1019,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.223591642162783
CBC_1020,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.0685677260325608
CBC_1024,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0210454887816793
CBC_1027,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.224252731641746
CBC_1029,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.409822335073526
CBC_1032,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0827050639001898
CBC_1033,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.334666948037678
CBC_1036,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0103089738133875
CBC_1037,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.26814667032568
CBC_1039,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.182101864133348
CBC_1040,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.141658848454045
CBC_1046,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.435693602905415
CBC_1047,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.272143260382133
CBC_1049,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.378146738075104
CBC_1051,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.235483089860099
CBC_1055,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.194456890964589
CBC_1056,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.227723790752635
CBC_1057,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.502785634717895
CBC_1058,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.355421594673292
CBC_1062,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,-0.140693033796942
CBC_1063,unexpected,Unexpected_uniform_11_-13_6_roi.mat,TV,right,thalamus,7,0.0101970999483125
