ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.0923396988810917
CBC_P005,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.0115277693483187
CBC_P006,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.392802869456215
CBC_P007,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.255948787865085
CBC_P009,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.232482620132819
CBC_P010,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.554815812475206
CBC_P013,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.453731627414846
CBC_P014,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.216098860447282
CBC_P015,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.313405495303884
CBC_P016,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.427296094663231
CBC_P017,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.231294532362982
CBC_P018,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.0274584640877127
CBC_P019,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.866826752774099
CBC_P020,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.0798144773260658
CBC_P022,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.166191932873396
CBC_P026,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-1.53639478451695
CBC_P027,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.12675153219658
CBC_P029,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.769991507292122
CBC_P030,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.11060207838332
CBC_P031,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.44994093820378
CBC_P034,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.327280135351439
CBC_P035,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.15087914326384
CBC_P036,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.289929395443082
CBC_P037,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.484482948002622
CBC_P038,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-1.0446058024993
CBC_P039,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.0870830619668314
CBC_P040,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.591905497877817
CBC_P041,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.827086158801359
CBC_P004,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.183199170997064
CBC_P005,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.112467370069048
CBC_P006,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.650547879021303
CBC_P007,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.510638543585047
CBC_P009,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.0771118936087678
CBC_P010,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.0906544379418008
CBC_P013,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.110851202952086
CBC_P014,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.122185369632199
CBC_P015,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.493368842566273
CBC_P016,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.625225623821857
CBC_P017,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.378907008082829
CBC_P018,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.765042501907673
CBC_P019,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.772679351272137
CBC_P020,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.273430497233933
CBC_P022,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.453099007503262
CBC_P026,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.151132221895809
CBC_P027,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.256977673419074
CBC_P029,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.154382079261087
CBC_P030,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.170702591765707
CBC_P031,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.0181395975389762
CBC_P034,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.192450033809583
CBC_P035,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.369318737088253
CBC_P036,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.208803232107859
