ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.0691309924871937
CBC_1002,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.141371543939229
CBC_1003,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.222028784574263
CBC_1005,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.202854451850477
CBC_1006,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.608481794751002
CBC_1007,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.106157101169258
CBC_1013,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.155553240356364
CBC_1014,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.868713992893573
CBC_1015,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.0290067284232394
CBC_1016,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.237834324121845
CBC_1017,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.127262358414966
CBC_1019,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.34703487632177
CBC_1020,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.00257174210039091
CBC_1024,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.29781327394595
CBC_1027,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.216211173471049
CBC_1029,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.038790360048658
CBC_1032,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.572952609360599
CBC_1033,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.45820723677879
CBC_1036,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.320966709730353
CBC_1037,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.482360849212897
CBC_1039,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.501346623628206
CBC_1040,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.608000053029461
CBC_1046,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.360759410432355
CBC_1047,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.342555717395662
CBC_1049,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.721189441929079
CBC_1051,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.26559321739065
CBC_1055,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.98113745767732
CBC_1056,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.172631966223809
CBC_1057,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.888069083958947
CBC_1058,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.159066805680917
CBC_1062,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.489981304347627
CBC_1063,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.415749491326326
CBC_1065,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-1.66383605613424
CBC_1069,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.395808216675504
CBC_1072,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.123400941513599
CBC_1074,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.0417515621372437
CBC_1075,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.178220219069842
CBC_1077,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.141345112620602
CBC_1080,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.12538881738067
CBC_1083,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.408561873619027
CBC_1084,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.383353412467388
CBC_1086,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.384393162454683
CBC_1095,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.163494879020722
CBC_1098,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.750037309172173
CBC_1101,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.440514702698608
CBC_1102,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.422011852211131
CBC_1104,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.319265061393742
CBC_1105,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-1.04532292551762
CBC_1106,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.793050692884022
CBC_1107,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.291707323056893
CBC_1109,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.293780391491464
CBC_1116,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.411050651343209
CBC_1133,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.372921682550563
CBC_1142,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.266998888502114
CBC_1143,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.199199590598545
CBC_1144,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,-0.288944888642145
CBC_1149,unexpected,Unexpected_uniform_12_9_5_roi.mat,AV,right,striatum,8,0.956393143305379
CBC_1001,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.0675790913636025
CBC_1002,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.270837233212818
CBC_1003,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.691824280489464
CBC_1005,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.423209347935521
CBC_1006,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.429981638919941
CBC_1007,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.084001716054475
CBC_1013,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.331204416612814
CBC_1014,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,-0.233427079530877
CBC_1015,unexpected,Unexpected_uniform_12_9_5_roi.mat,TV,right,striatum,8,0.226055156627742
