ID,mask,file,task,hemisphere,label,number,beta
CBC_P004,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,1.04446954577176
CBC_P005,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.31892461708776
CBC_P006,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.197024935907405
CBC_P007,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.26514077657809
CBC_P009,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.126596648600153
CBC_P010,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.36245175437293
CBC_P013,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-1.25738622867655
CBC_P014,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.366682853576655
CBC_P015,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.023217354546621
CBC_P016,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.548111913372949
CBC_P017,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.703232614519465
CBC_P018,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.340068145189606
CBC_P019,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.00940557188747933
CBC_P020,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.485314932384186
CBC_P022,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,1.05705599225807
CBC_P026,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.565458972032988
CBC_P027,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.660711262180873
CBC_P029,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.268606284681292
CBC_P030,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.0739923988240538
