ID,mask,file,task,hemisphere,label,number,beta
CBC_1001,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.270020488295469
CBC_1002,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.159524507599404
CBC_1003,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.234676743009968
CBC_1005,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.482695902973068
CBC_1006,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.0342826909599942
CBC_1007,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.487211918840417
CBC_1013,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.12498625497853
CBC_1014,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.103016149239895
CBC_1015,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.164686327459738
CBC_1016,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-1.03333834586784
CBC_1017,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.681432543278988
CBC_1019,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.367243154524054
CBC_1020,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.0829177330650502
CBC_1024,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.662343307969165
CBC_1027,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.168565591462988
CBC_1029,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.197771404098371
CBC_1032,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.557810787303857
CBC_1033,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.113916989025618
CBC_1036,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.0442464177794012
CBC_1037,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.557186460645385
CBC_1039,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.634944601980292
CBC_1040,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.50486815155788
CBC_1046,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,0.617830594776435
CBC_1047,unexpected,Unexpected_uniform_1_16_44_roi.mat,AV,bilateral,"supplementary motor cortex, anterior cingulate cortex",9,-0.222733248621544
