ID,mask,task,hemisphere,beta
CBC_P004,unexpected,AV,wholeBrain,0.54546980020773
CBC_P005,unexpected,AV,wholeBrain,0.111589475126891
CBC_P006,unexpected,AV,wholeBrain,-0.00215546947178087
CBC_P007,unexpected,AV,wholeBrain,0.172284297916984
CBC_P009,unexpected,AV,wholeBrain,0.0554205110371741
CBC_P010,unexpected,AV,wholeBrain,0.138259623045252
CBC_P013,unexpected,AV,wholeBrain,-0.544068323346607
CBC_P014,unexpected,AV,wholeBrain,0.288397825999092
CBC_P015,unexpected,AV,wholeBrain,0.324568520334785
CBC_P016,unexpected,AV,wholeBrain,0.243523267058934
CBC_P017,unexpected,AV,wholeBrain,0.442731978368005
CBC_P018,unexpected,AV,wholeBrain,-0.170202417213291
CBC_P019,unexpected,AV,wholeBrain,-0.273975793239822
CBC_P020,unexpected,AV,wholeBrain,0.00575725614840224
CBC_P022,unexpected,AV,wholeBrain,0.464111861287528
CBC_P026,unexpected,AV,wholeBrain,-0.713025706355082
CBC_P027,unexpected,AV,wholeBrain,-0.515251238935131
CBC_P029,unexpected,AV,wholeBrain,-0.327657853551282
CBC_P030,unexpected,AV,wholeBrain,0.219852813853273
CBC_P031,unexpected,AV,wholeBrain,0.0408738891116351
CBC_P034,unexpected,AV,wholeBrain,0.227368968794462
CBC_P035,unexpected,AV,wholeBrain,0.200259834471933
CBC_P036,unexpected,AV,wholeBrain,0.271155679728548
CBC_P037,unexpected,AV,wholeBrain,0.294744636425691
CBC_P038,unexpected,AV,wholeBrain,-0.373021839807418
CBC_P039,unexpected,AV,wholeBrain,0.506566986692469
CBC_P040,unexpected,AV,wholeBrain,-0.297984061498462
CBC_P041,unexpected,AV,wholeBrain,0.190201173642536
CBC_P004,unexpected,TV,wholeBrain,0.161086289596549
CBC_P005,unexpected,TV,wholeBrain,0.077234966641254
CBC_P006,unexpected,TV,wholeBrain,0.042976765544239
CBC_P007,unexpected,TV,wholeBrain,0.109250133462051
CBC_P009,unexpected,TV,wholeBrain,0.199889031898756
CBC_P010,unexpected,TV,wholeBrain,0.173545104618661
CBC_P013,unexpected,TV,wholeBrain,-0.0527311765706386
CBC_P014,unexpected,TV,wholeBrain,-0.0670741317879551
CBC_P015,unexpected,TV,wholeBrain,0.0280587189717387
CBC_P016,unexpected,TV,wholeBrain,0.011137813034682
CBC_P017,unexpected,TV,wholeBrain,-0.39777989875729
CBC_P018,unexpected,TV,wholeBrain,0.127164476080845
CBC_P019,unexpected,TV,wholeBrain,0.545730117425148
CBC_P020,unexpected,TV,wholeBrain,0.193231328220069
CBC_P022,unexpected,TV,wholeBrain,-0.137654932647745
CBC_P026,unexpected,TV,wholeBrain,0.0420128476776691
CBC_P027,unexpected,TV,wholeBrain,-0.219118022274992
CBC_P029,unexpected,TV,wholeBrain,0.142300318539764
CBC_P030,unexpected,TV,wholeBrain,-0.0711551772144396
CBC_P031,unexpected,TV,wholeBrain,0.505304009068219
CBC_P034,unexpected,TV,wholeBrain,-0.0350217191909915
CBC_P035,unexpected,TV,wholeBrain,-0.0666615365582146
CBC_P036,unexpected,TV,wholeBrain,0.0737424996768246
CBC_P037,unexpected,TV,wholeBrain,-0.181028221120233
CBC_P038,unexpected,TV,wholeBrain,-0.0284628886385268
CBC_P039,unexpected,TV,wholeBrain,0.351679860183951
CBC_P040,unexpected,TV,wholeBrain,-0.23147846986917
CBC_P041,unexpected,TV,wholeBrain,0.0607465014924298
