ID,mask,task,hemisphere,beta
CBC_1001,unexpected,AV,wholeBrain,-0.0422579115796456
CBC_1002,unexpected,AV,wholeBrain,0.164876214189302
CBC_1003,unexpected,AV,wholeBrain,0.00248061412630076
CBC_1005,unexpected,AV,wholeBrain,-0.0697961669537256
CBC_1006,unexpected,AV,wholeBrain,0.302313874386984
CBC_1007,unexpected,AV,wholeBrain,0.32549674244125
CBC_1013,unexpected,AV,wholeBrain,-0.0952450720055925
CBC_1014,unexpected,AV,wholeBrain,0.197473101045384
CBC_1015,unexpected,AV,wholeBrain,-0.182293747656731
CBC_1016,unexpected,AV,wholeBrain,-0.182005080981726
CBC_1017,unexpected,AV,wholeBrain,0.293936127768513
CBC_1019,unexpected,AV,wholeBrain,-0.126182589610362
CBC_1020,unexpected,AV,wholeBrain,-0.061104715732292
CBC_1024,unexpected,AV,wholeBrain,-0.166355764406434
CBC_1027,unexpected,AV,wholeBrain,-0.18162063931782
CBC_1029,unexpected,AV,wholeBrain,0.0806470923652172
CBC_1032,unexpected,AV,wholeBrain,0.128766242835704
CBC_1033,unexpected,AV,wholeBrain,-0.00107066266922829
CBC_1036,unexpected,AV,wholeBrain,0.0242550309842162
CBC_1037,unexpected,AV,wholeBrain,-0.115583924600285
CBC_1039,unexpected,AV,wholeBrain,-0.476466796177379
CBC_1040,unexpected,AV,wholeBrain,-0.11179789975654
CBC_1046,unexpected,AV,wholeBrain,0.18548294692052
CBC_1047,unexpected,AV,wholeBrain,-0.143765137976436
CBC_1049,unexpected,AV,wholeBrain,-0.175142859178196
CBC_1051,unexpected,AV,wholeBrain,-0.409612107501152
CBC_1055,unexpected,AV,wholeBrain,0.5086421510816
CBC_1056,unexpected,AV,wholeBrain,-0.232552966997281
CBC_1057,unexpected,AV,wholeBrain,0.184212188502854
CBC_1058,unexpected,AV,wholeBrain,-0.0457994923621164
CBC_1062,unexpected,AV,wholeBrain,0.327617578400616
CBC_1063,unexpected,AV,wholeBrain,0.107176452089278
CBC_1065,unexpected,AV,wholeBrain,-0.392785874631748
CBC_1069,unexpected,AV,wholeBrain,0.163576418716791
CBC_1072,unexpected,AV,wholeBrain,-0.0540153696847643
CBC_1074,unexpected,AV,wholeBrain,0.233895764799529
CBC_1075,unexpected,AV,wholeBrain,-0.0585101628109967
CBC_1077,unexpected,AV,wholeBrain,-0.138994357784308
CBC_1080,unexpected,AV,wholeBrain,0.0636461386765606
CBC_1083,unexpected,AV,wholeBrain,0.154610210125119
CBC_1084,unexpected,AV,wholeBrain,-0.0588255755300725
CBC_1086,unexpected,AV,wholeBrain,-0.0634069780957509
CBC_1095,unexpected,AV,wholeBrain,-0.169410575787626
CBC_1098,unexpected,AV,wholeBrain,-0.0165975571457474
CBC_1101,unexpected,AV,wholeBrain,0.255728733935859
CBC_1102,unexpected,AV,wholeBrain,0.210433639821724
CBC_1104,unexpected,AV,wholeBrain,0.426946777309099
CBC_1105,unexpected,AV,wholeBrain,-0.34872168191928
CBC_1106,unexpected,AV,wholeBrain,0.0999999007542053
CBC_1107,unexpected,AV,wholeBrain,-0.0989920158890454
CBC_1109,unexpected,AV,wholeBrain,-0.063564625196503
CBC_1116,unexpected,AV,wholeBrain,0.358109008381349
CBC_1133,unexpected,AV,wholeBrain,0.225614061096307
CBC_1142,unexpected,AV,wholeBrain,0.152958688388502
CBC_1143,unexpected,AV,wholeBrain,0.0608584565139414
CBC_1144,unexpected,AV,wholeBrain,-0.16706507315344
CBC_1149,unexpected,AV,wholeBrain,0.48860636556259
CBC_1001,unexpected,TV,wholeBrain,0.158665807861263
CBC_1002,unexpected,TV,wholeBrain,-0.115193360453435
