ID,mask,task,hemisphere,beta
CBC_1001,AC,AV,wholeBrain,-0.091106138239661
CBC_1002,AC,AV,wholeBrain,-0.107062676491943
CBC_1003,AC,AV,wholeBrain,0.254305865567536
CBC_1005,AC,AV,wholeBrain,0.0189197687752192
CBC_1006,AC,AV,wholeBrain,0.390530348320814
CBC_1007,AC,AV,wholeBrain,0.266169802737116
CBC_1013,AC,AV,wholeBrain,-0.122606621619965
CBC_1014,AC,AV,wholeBrain,0.00177798114696839
CBC_1015,AC,AV,wholeBrain,-0.363777374060731
CBC_1016,AC,AV,wholeBrain,-0.137438398724364
CBC_1017,AC,AV,wholeBrain,0.359037101936613
CBC_1019,AC,AV,wholeBrain,-0.0545946039121881
CBC_1020,AC,AV,wholeBrain,0.0547079006126194
CBC_1024,AC,AV,wholeBrain,0.0639612854740069
CBC_1027,AC,AV,wholeBrain,0.129095171582306
CBC_1029,AC,AV,wholeBrain,0.134002955451037
CBC_1032,AC,AV,wholeBrain,0.419768842132527
CBC_1033,AC,AV,wholeBrain,0.162564267898691
CBC_1036,AC,AV,wholeBrain,0.00132208649949201
CBC_1037,AC,AV,wholeBrain,0.0655775970451028
CBC_1039,AC,AV,wholeBrain,-0.27962612016412
CBC_1040,AC,AV,wholeBrain,0.00527350489970332
CBC_1046,AC,AV,wholeBrain,0.0300692041219722
CBC_1047,AC,AV,wholeBrain,0.0708570347402694
CBC_1049,AC,AV,wholeBrain,0.144816681964311
CBC_1051,AC,AV,wholeBrain,0.0305268644780825
CBC_1055,AC,AV,wholeBrain,-0.0586220037633094
CBC_1056,AC,AV,wholeBrain,-0.0522075298921515
CBC_1057,AC,AV,wholeBrain,-0.219725398316658
CBC_1058,AC,AV,wholeBrain,-0.238854168907482
CBC_1062,AC,AV,wholeBrain,0.395662037826573
CBC_1063,AC,AV,wholeBrain,0.141022634833993
CBC_1065,AC,AV,wholeBrain,-0.0493192921039297
CBC_1069,AC,AV,wholeBrain,0.184846580462167
CBC_1072,AC,AV,wholeBrain,-0.0459595419567411
CBC_1074,AC,AV,wholeBrain,0.223727480312051
CBC_1075,AC,AV,wholeBrain,0.153219722940608
CBC_1077,AC,AV,wholeBrain,0.0222789447514809
CBC_1080,AC,AV,wholeBrain,-0.111354915793388
CBC_1083,AC,AV,wholeBrain,0.192007891519313
CBC_1084,AC,AV,wholeBrain,-0.235162695705365
CBC_1086,AC,AV,wholeBrain,0.167661520409967
CBC_1095,AC,AV,wholeBrain,-0.080385738557584
CBC_1098,AC,AV,wholeBrain,0.241786361947027
CBC_1101,AC,AV,wholeBrain,0.212315114201262
CBC_1102,AC,AV,wholeBrain,-0.204206907320514
CBC_1104,AC,AV,wholeBrain,-0.18540286161361
CBC_1105,AC,AV,wholeBrain,0.323790041301584
CBC_1106,AC,AV,wholeBrain,0.553367127776877
CBC_1107,AC,AV,wholeBrain,-0.622187629271204
CBC_1109,AC,AV,wholeBrain,-0.0136170449939174
CBC_1116,AC,AV,wholeBrain,0.112834297037706
CBC_1133,AC,AV,wholeBrain,0.479710268570456
CBC_1142,AC,AV,wholeBrain,-0.0305290335993554
CBC_1143,AC,AV,wholeBrain,-0.0979858086052337
CBC_1144,AC,AV,wholeBrain,-0.0726992979596641
CBC_1149,AC,AV,wholeBrain,0.628466856064672
CBC_1001,AC,TV,wholeBrain,0.0378279020552557
CBC_1002,AC,TV,wholeBrain,-0.213088256811421
CBC_1003,AC,TV,wholeBrain,-0.131455041597649
CBC_1005,AC,TV,wholeBrain,-0.213660983634615
CBC_1006,AC,TV,wholeBrain,-0.37177531615071
CBC_1007,AC,TV,wholeBrain,-0.176661620426855
CBC_1013,AC,TV,wholeBrain,-0.245654815163801
CBC_1014,AC,TV,wholeBrain,0.0161368946916566
CBC_1015,AC,TV,wholeBrain,0.0455298476845369
CBC_1016,AC,TV,wholeBrain,0.343974874021091
CBC_1017,AC,TV,wholeBrain,-0.000862829700768897
CBC_1019,AC,TV,wholeBrain,0.0460560234444616
CBC_1020,AC,TV,wholeBrain,0.235672767573956
CBC_1024,AC,TV,wholeBrain,-0.0251231276245207
CBC_1027,AC,TV,wholeBrain,-0.444343344786644
CBC_1029,AC,TV,wholeBrain,-0.0204780012419699
CBC_1032,AC,TV,wholeBrain,-0.0923312812560906
CBC_1033,AC,TV,wholeBrain,-0.137916962045909
CBC_1036,AC,TV,wholeBrain,-0.688379243599101
CBC_1037,AC,TV,wholeBrain,0.347667690487471
CBC_1039,AC,TV,wholeBrain,-0.0821685972918252
CBC_1040,AC,TV,wholeBrain,0.245516075565543
CBC_1046,AC,TV,wholeBrain,-0.0512803636032046
CBC_1047,AC,TV,wholeBrain,0.299666252129602
CBC_1049,AC,TV,wholeBrain,-0.0514751190040634
CBC_1051,AC,TV,wholeBrain,-0.0656335292191343
CBC_1055,AC,TV,wholeBrain,0.429931297451036
CBC_1056,AC,TV,wholeBrain,0.105040067728347
CBC_1057,AC,TV,wholeBrain,0.0626562520783698
CBC_1058,AC,TV,wholeBrain,-0.117429408028816
CBC_1062,AC,TV,wholeBrain,0.159680907157393
CBC_1063,AC,TV,wholeBrain,0.0508141296562261
CBC_1065,AC,TV,wholeBrain,0.297956661802592
CBC_1069,AC,TV,wholeBrain,0.0321051473085332
CBC_1072,AC,TV,wholeBrain,0.158032587429407
CBC_1074,AC,TV,wholeBrain,-0.284725927280782
CBC_1075,AC,TV,wholeBrain,0.0904878485826911
CBC_1077,AC,TV,wholeBrain,0.0712671404023748
CBC_1080,AC,TV,wholeBrain,0.200645201645831
CBC_1083,AC,TV,wholeBrain,0.165677992802946
CBC_1084,AC,TV,wholeBrain,-0.124348924804042
CBC_1086,AC,TV,wholeBrain,0.497292853116143
CBC_1095,AC,TV,wholeBrain,-0.023708734447752
CBC_1098,AC,TV,wholeBrain,-0.475685714252274
CBC_1101,AC,TV,wholeBrain,-0.0263604379059146
CBC_1102,AC,TV,wholeBrain,0.608476401218105
CBC_1104,AC,TV,wholeBrain,0.173981263454615
CBC_1105,AC,TV,wholeBrain,0.0117620149074151
CBC_1106,AC,TV,wholeBrain,0.304619246579586
CBC_1107,AC,TV,wholeBrain,0.105401926589635
CBC_1109,AC,TV,wholeBrain,0.159923177468404
CBC_1116,AC,TV,wholeBrain,0.267876914410581
CBC_1133,AC,TV,wholeBrain,-0.159373656314814
CBC_1142,AC,TV,wholeBrain,0.186536976836599
CBC_1143,AC,TV,wholeBrain,0.121517383928404
CBC_1144,AC,TV,wholeBrain,-0.0661039738072573
CBC_1149,AC,TV,wholeBrain,-0.0232460824076686
