ID,mask,task,hemisphere,beta
CBC_1001,A,AV,wholeBrain,-0.15563487488367
CBC_1002,A,AV,wholeBrain,-0.153255774841593
CBC_1003,A,AV,wholeBrain,0.407438234076139
CBC_1005,A,AV,wholeBrain,0.0593254489074441
CBC_1006,A,AV,wholeBrain,0.56178082270971
CBC_1007,A,AV,wholeBrain,0.371535909610986
CBC_1013,A,AV,wholeBrain,-0.117527397901408
CBC_1014,A,AV,wholeBrain,-0.0404074252144664
CBC_1015,A,AV,wholeBrain,-0.607862634572276
CBC_1016,A,AV,wholeBrain,-0.0740429428976973
CBC_1017,A,AV,wholeBrain,0.356533060954337
CBC_1019,A,AV,wholeBrain,-0.0583373708420696
CBC_1020,A,AV,wholeBrain,0.0258962727118256
CBC_1024,A,AV,wholeBrain,0.188964199863517
CBC_1027,A,AV,wholeBrain,0.271273498541774
CBC_1029,A,AV,wholeBrain,0.214025739971456
CBC_1032,A,AV,wholeBrain,0.245848935121696
CBC_1033,A,AV,wholeBrain,0.224521291353644
CBC_1036,A,AV,wholeBrain,0.120261867784319
CBC_1037,A,AV,wholeBrain,0.012651451356648
CBC_1039,A,AV,wholeBrain,-0.559010455574426
CBC_1040,A,AV,wholeBrain,-0.0356056024489804
CBC_1046,A,AV,wholeBrain,-0.0158504803944251
CBC_1047,A,AV,wholeBrain,0.104054624733345
CBC_1049,A,AV,wholeBrain,0.335204891857475
CBC_1051,A,AV,wholeBrain,0.117386426008149
CBC_1055,A,AV,wholeBrain,-0.0925726539757884
CBC_1056,A,AV,wholeBrain,-0.0845795864928948
CBC_1057,A,AV,wholeBrain,-0.503837547415748
CBC_1058,A,AV,wholeBrain,-0.586032373283512
CBC_1062,A,AV,wholeBrain,-0.0573683870702654
CBC_1063,A,AV,wholeBrain,0.159833467785136
CBC_1065,A,AV,wholeBrain,-0.234442842226559
CBC_1069,A,AV,wholeBrain,-0.00403934878162545
CBC_1072,A,AV,wholeBrain,0.178957778876339
CBC_1074,A,AV,wholeBrain,0.153971326809501
