ID,mask,file,task,hemisphere,label,beta
CBC_1001,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0384813632949319
CBC_1002,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.566597581690284
CBC_1003,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.631125542480714
CBC_1005,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.171894786859044
CBC_1006,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.965601879186409
CBC_1007,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.360251933083971
CBC_1013,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0314840004934596
CBC_1014,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.114964482382551
CBC_1015,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.438322101803344
CBC_1016,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.0152195204032646
CBC_1017,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.68855918931734
CBC_1019,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.107489991352601
CBC_1020,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0794110645580658
CBC_1024,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.274521328714492
CBC_1027,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0247579275160553
CBC_1029,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.306888860794254
CBC_1032,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,1.11909998877385
CBC_1033,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0238227732080567
CBC_1036,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.176578322101217
CBC_1037,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.0241054081321611
CBC_1039,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.221011261364488
CBC_1040,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.252136289642899
CBC_1046,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.378340476449188
CBC_1047,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.297038444039482
CBC_1049,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.247982184742533
CBC_1051,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.249517989740648
CBC_1055,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.181070234001067
CBC_1056,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.253087398455262
CBC_1057,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.166142898987119
CBC_1058,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.627113152149243
CBC_1062,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.356612861446184
CBC_1063,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.334405945529334
CBC_1065,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.119048563866834
CBC_1069,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.143981788936175
CBC_1072,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0854267452368524
CBC_1074,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.438527577752371
CBC_1075,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.16812505956271
CBC_1077,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.419280978605353
CBC_1080,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.238466058727214
CBC_1083,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.389741361052936
CBC_1084,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.0666067696030637
CBC_1086,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.426018572831046
CBC_1095,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.157087486072339
CBC_1098,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.56422062822732
CBC_1101,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.56540547628354
CBC_1102,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.0387685994564715
CBC_1104,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.41537308474537
CBC_1105,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.0670532045715199
CBC_1106,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.552835778604834
CBC_1107,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.520729397695164
CBC_1109,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.0186460062792353
CBC_1116,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.130119400369264
CBC_1133,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.516946397848702
CBC_1142,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,-0.236891172216251
CBC_1143,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.156734874440953
CBC_1144,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,0.0126714764739501
CBC_1149,AC,SPE_AC_cluster3_48_24_26_roi.mat,AV,right,inferior frontal gyurs,1.28011303869462
CBC_1001,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.246487684012879
CBC_1002,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.239574871696886
CBC_1003,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.689218478363528
CBC_1005,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.264826548079523
CBC_1006,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.596343104360367
CBC_1007,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.128990218178574
CBC_1013,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.49000585924714
CBC_1014,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.172533024436735
CBC_1015,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.352455344907681
CBC_1016,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.09160073869164
CBC_1017,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.261996078015485
CBC_1019,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.06440585321876
CBC_1020,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.224793029793691
CBC_1024,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,0.215613425593511
CBC_1027,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-1.04607062045055
CBC_1029,AC,SPE_AC_cluster3_48_24_26_roi.mat,TV,right,inferior frontal gyurs,-0.0740828359338075
