"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"tsDifficulty";"prob.Feedback";"session";"version";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"group";"logfile";"participant"
"CBC_P004";"0";"1";"2";"0.5";"z";"2,992730699996173";"1";"1";"hard";"0,8";"1";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"1";"2";"1";"0.5";"None";NA;NA;"3";"hard";"0,8";"1";"v1";"1,000000000000000";"0,0000000000000000";NA;NA;"1";"0";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"2";"1";"0";"0.15";"b";"3,132941199997731";"1";"1";"hard";"0,8";"1";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"3";"0";"2";"0.35";"z";"2,455356699996628";"0";"0";"hard";"0,8";"1";"v1";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"4";"1";"1";"0.35";"b";"2,517965799997910";"1";"0";"hard";"0,8";"1";"v1";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"5";"0";"2";"0.35";"None";NA;NA;"3";"hard";"0,8";"1";"v1";"0,750000000000000";"0,2500000000000000";NA;NA;"1";"0";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"6";"2";"1";"0.5";"z";"2,157798099993670";"1";"1";"hard";"0,8";"1";"v1";"0,800000000000000";"0,2000000000000000";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"7";"0";"0";"0.5";"b";"2,403158400004031";"0";"0";"hard";"0,8";"1";"v1";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"8";"2";"1";"0.5";"z";"2,367343300000357";"1";"1";"hard";"0,8";"1";"v1";"0,714285714285714";"0,2857142857142857";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
"CBC_P004";"9";"1";"2";"0.5";"z";"2,402684200002113";"1";"1";"hard";"0,8";"1";"v1";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"tv";"vib";"adults";"CBC_P004_TV_prob0.8_Vset3_Aset2_2023-03-15_16h41.57.326.csv";"CBC_P004"
