"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"version";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile";"group";"trials_runs.visual_stim_right";"trials_runs.correctKey"
"CBC_1032";"0";"1";"1";"36";"z";"2,56192399999963527";"1";"1";"1";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"1";"2";"0";"36";"z";"1,69096360000003187";"1";"1";"1";"easy";"0,95";"v1";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"2";"0";"1";"14";"b";"2,65958259999933944";"0";"0";"1";"easy";"0,95";"v1";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"3";"1";"2";"50";"z";"2,43641159999970114";"0";"0";"1";"easy";"0,95";"v1";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"4";"0";"0";"50";"z";"2,37767259999964153";"0";"0";"1";"easy";"0,95";"v1";"0,400000000000000";"0,6000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"5";"0";"0";"50";"b";"2,57614610000018729";"1";"1";"1";"easy";"0,95";"v1";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"6";"1";"2";"50";"b";"2,82512119999955758";"1";"1";"1";"easy";"0,95";"v1";"0,571428571428571";"0,4285714285714286";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"7";"2";"0";"36";"z";"2,44817539999894507";"1";"1";"1";"easy";"0,95";"v1";"0,625000000000000";"0,3750000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"8";"1";"2";"50";"z";"1,83946019999893906";"0";"0";"1";"easy";"0,95";"v1";"0,555555555555556";"0,4444444444444444";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"9";"2";"1";"50";"z";"2,34856910000053176";"0";"0";"1";"easy";"0,95";"v1";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"10";"1";"0";"14";"b";"1,85542940000050294";"0";"0";"1";"easy";"0,95";"v1";"0,454545454545455";"0,5454545454545454";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"11";"2";"1";"50";"z";"1,89805080000041926";"0";"0";"1";"easy";"0,95";"v1";"0,416666666666667";"0,5833333333333333";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"12";"0";"2";"36";"b";"2,47998670000015409";"0";"0";"1";"easy";"0,95";"v1";"0,384615384615385";"0,6153846153846154";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"13";"1";"1";"36";"z";"1,71766810000008263";"1";"1";"1";"easy";"0,95";"v1";"0,428571428571429";"0,5714285714285714";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"14";"0";"2";"36";"b";"2,50963830000000598";"0";"0";"1";"easy";"0,95";"v1";"0,400000000000000";"0,6000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"15";"2";"1";"50";"None";NA;NA;"3";"1";"easy";"0,95";"v1";"0,400000000000000";"0,6000000000000000";NA;NA;"1";"0";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
"CBC_1032";"16";"0";"2";"36";"z";"2,32721239999955287";"1";"1";"1";"easy";"0,95";"v1";"0,437500000000000";"0,5625000000000000";"0";"0";"0";"1";"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";NA;NA
