"ID";"session";"tsDifficulty";"prob.Feedback";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"logfile";"group";"version"
"CBC_1032";"1";"easy";"0,95";"0,410256410256410";"0,384615384615385";"1,000000000000000";"1,97358183333334";"0,19488160000037169";"4,92739849999998";"0,0714285714285714";"0,0256410256410256";;;"av";"env";"CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv";"children";"v1"
"CBC_1032";"2";"easy";"0,95";"0,589743589743590";"0,555555555555556";"1,000000000000000";"2,27896241794947";"-0,00661579999905371";"3,40869860000203";"0,0714285714285714";"0,0000000000000000";;;"tv";"vib";"CBC_1032_MSI_TV_v1_Vset3_Aset2_2023-10-20_11h31.15.953.csv";"children";"v1"
"CBC_1039";"2";"easy";"0,95";"0,857142857142857";"0,750000000000000";"1,000000000000000";"2,85313958571424";"1,55453730000044743";"4,40154789999997";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1039_MSI_AV_v1_Vset6_Aset3_2024-01-31_14h41.16.850.csv";"children";"v1"
"CBC_1039";"4";"easy";"0,95";"0,690476190476190";"0,666666666666667";"1,000000000000000";"3,20992512619077";"2,22256379999998899";"4,67008419999911";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1039_MSI_TV_v1_Vset2_Aset3_2024-01-31_15h54.46.456.csv";"children";"v1"
"CBC_1046";"1";"easy";"0,95";"0,564102564102564";"0,500000000000000";"1,000000000000000";"2,55548969743559";"1,00362510000013572";"4,08733319999919";"0,0714285714285714";"0,0000000000000000";;;"tv";"vib";"CBC_1046_MSI_TV_v1_Vset6_Aset3_2024-01-27_09h58.22.092.csv";"children";"v1"
"CBC_1046";"2";"easy";"0,95";"0,536585365853659";"0,526315789473684";"1,000000000000000";"2,50978705609759";"1,02850789999956760";"4,35494149999977";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1046_MSI_AV_v1_Vset5_Aset2_2024-01-27_10h07.22.626.csv";"children";"v1"
"CBC_1047";"2";"hard";"0,95";"0,600000000000000";"0,562500000000000";"1,000000000000000";"2,87860075750100";"1,75748960000055376";"4,78517140000076";"0,0476190476190476";"0,0250000000000000";;;"tv";"vib";"CBC_1047_MSI_TV_v1_Vset2_Aset3_2024-01-21_16h07.53.122.csv";"children";"v1"
"CBC_1047";"3";"easy";"0,95";"0,634146341463415";"0,333333333333333";"1,000000000000000";"2,50733793902443";"1,01454799999919487";"4,41914850000103";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1047_MSI_AV_v1_Vset3_Aset1_2024-01-21_17h15.38.801.csv";"children";"v1"
"CBC_1049";"1";"easy";"0,95";"0,439024390243902";"0,000000000000000";"0,555555555555556";"1,96212329024356";"0,95384169999942969";"4,13218019999931";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv";"children";"v1"
"CBC_1049";"3";"easy";"0,95";"0,476190476190476";"0,266666666666667";"1,000000000000000";"2,69119694761884";"1,31965899999977410";"3,34983030000058";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1049_MSI_TV_v1_Vset2_Aset3_2024-01-23_16h10.37.518.csv";"children";"v1"
"CBC_1055";"1";"easy";"0,90";"0,853658536585366";"0,500000000000000";"1,000000000000000";"2,78292209512195";"2,26163870000027600";"3,89986469999985";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1055_MSI_AV_v1_Vset1_Aset1_2024-03-03_09h33.19.069.csv";"children";"v1"
"CBC_1055";"3";"hard";"0,95";"0,928571428571429";"0,333333333333333";"1,000000000000000";"2,71269588571431";"2,01462290000017674";"4,30000770000152";"0,0000000000000000";"0,0238095238095238";;;"tv";"vib";"CBC_1055_MSI_TV_v1_Vset3_Aset3_2024-03-03_11h11.32.283.csv";"children";"v1"
"CBC_1056";"1";"easy";"0,90";"0,642857142857143";"0,000000000000000";"0,833333333333333";"2,80287772142652";"1,38169289999859757";"4,55915509999613";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv";"children";"v1"
"CBC_1056";"2";"hard";"0,95";"0,952380952380952";"0,500000000000000";"1,000000000000000";"2,00390950237895";"1,20321659999899566";"4,58682929999850";"0,0000000000000000";"0,0238095238095238";;;"tv";"vib";"CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv";"children";"v1"
"CBC_1057";"2";"easy";"0,95";"0,525000000000000";"0,416666666666667";"1,000000000000000";"1,85371521750139";"0,70799840000108816";"4,46127100000012";"0,0476190476190476";"0,0000000000000000";;;"av";"env";"CBC_1057_MSI_AV_v1_Vset3_Aset1_2024-02-07_15h52.15.487.csv";"children";"v1"
"CBC_1057";"3";"easy";"0,95";"0,571428571428571";"0,000000000000000";"0,636363636363636";"2,28351198809330";"0,14739050000207499";"4,13894949999667";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1057_MSI_TV_v1_Vset2_Aset3_2024-02-07_17h02.19.501.csv";"children";"v1"
"CBC_1062";"1";"easy";"0,95";"0,642857142857143";"0,000000000000000";"0,675000000000000";"1,89965065238054";"0,79526350000014645";"4,01621069999965";"0,0000000000000000";"0,0238095238095238";;;"av";"env";"CBC_1062_MSI_AV_v1_Vset5_Aset1_2024-02-17_11h35.47.907.csv";"children";"v1"
"CBC_1062";"2";"hard";"0,95";"0,634146341463415";"0,634146341463415";"1,000000000000000";"2,39559511463280";"1,26412069999969390";"3,88727169999947";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"CBC_1062_MSI_TV_v1_Vset4_Aset3_2024-02-17_11h44.12.042.csv";"children";"v1"
"CBC_1063";"2";"easy";"0,95";"0,404761904761905";"0,222222222222222";"1,000000000000000";"1,02843698333280";"0,34920299999976123";"2,61464999999953";"0,0000000000000000";"0,0238095238095238";;;"av";"env";"CBC_1063_MSI_AV_v1_Vset2_Aset3_2024-02-17_10h54.14.818.csv";"children";"v1"
"CBC_1063";"3";"easy";"0,95";"0,315789473684211";"0,272727272727273";"1,000000000000000";"1,10445003684268";"0,42765540000073088";"2,68300420000014";"0,0952380952380952";"0,0000000000000000";;;"tv";"vib";"CBC_1063_MSI_TV_v1_Vset3_Aset2_2024-02-17_12h19.50.763.csv";"children";"v1"
"CBC_1065";"2";"hard";"0,95";"0,878048780487805";"0,000000000000000";"0,950000000000000";"1,89856068292709";"1,16942749999998341";"3,13661430000047";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"CBC_1065_MSI_TV_v1_Vset1_Aset2_2024-05-10_14h36.16.298.csv";"children";"v1"
"CBC_1065";"3";"easy";"0,95";"0,761904761904762";"0,600000000000000";"1,000000000000000";"1,95804487857060";"0,90324349999809783";"4,24505079999926";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1065_MSI_AV_v1_Vset3_Aset1_2024-05-10_15h29.15.145.csv";"children";"v1"
"CBC_1069";"2";"easy";"0,95";"0,609756097560976";"0,500000000000000";"1,000000000000000";"2,39845632438957";"1,23920749999888358";"5,21257519999926";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1069_MSI_AV_v1_Vset1_Aset3_2024-03-01_15h44.46.693.csv";"children";"v1"
"CBC_1069";"3";"hard";"0,95";"0,609756097560976";"0,333333333333333";"1,000000000000000";"2,72274131951297";"1,42831720000140194";"4,81746180000118";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"CBC_1069_MSI_TV_v1_Vset2_Aset2_2024-03-01_16h33.01.600.csv";"children";"v1"
"CBC_1074";"1";"easy";"0,95";"1,000000000000000";"1,000000000000000";"1,000000000000000";"1,56891684878047";"0,86926500000117812";"2,45162170000003";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1074_MSI_AV_v1_Vset4_Aset3_2024-03-13_16h24.28.080.csv";"children";"v1"
"CBC_1074";"2";"easy";"0,95";"0,634146341463415";"0,000000000000000";"0,666666666666667";"2,34394698048838";"1,14635620000080962";"4,90162240000063";"0,0238095238095238";"0,0243902439024390";;;"tv";"vib";"CBC_1074_MSI_TV_v1_Vset6_Aset2_2024-03-13_16h33.01.840.csv";"children";"v1"
"CBC_1077";"2";"easy";"0,95";"0,447368421052632";"0,000000000000000";"0,555555555555556";"2,88645685526284";"0,75057720000040717";"6,13213379999979";"0,0952380952380952";"0,0000000000000000";;;"tv";"vib";"CBC_1077_MSI_TV_v1_Vset1_Aset1_2024-02-16_15h16.11.266.csv";"children";"v1"
"CBC_1077";"3";"easy";"0,95";"0,756097560975610";"0,333333333333333";"1,000000000000000";"2,23275196097549";"0,06375010000010661";"3,84850289999849";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1077_MSI_AV_v1_Vset3_Aset2_2024-02-16_16h07.43.793.csv";"children";"v1"
"CBC_1080";"1";"easy";"0,95";"0,666666666666667";"0,526315789473684";"1,000000000000000";"2,26483705238053";"0,91346629999952711";"5,52078359999996";"0,0000000000000000";"0,0238095238095238";;;"av";"env";"CBC_1080_MSI_AV_v1_Vset5_Aset1_2024-04-12_14h59.49.236.csv";"children";"v1"
"CBC_1080";"2";"hard";"0,95";"0,878048780487805";"0,666666666666667";"1,000000000000000";"2,43939160975646";"1,33866200000011304";"4,46073249999972";"0,0238095238095238";"0,0243902439024390";;;"tv";"vib";"CBC_1080_MSI_TV_v1_Vset4_Aset1_2024-04-12_15h08.13.163.csv";"children";"v1"
"CBC_1083";"2";"hard";"0,90";"0,833333333333333";"0,500000000000000";"1,000000000000000";"2,03582998095249";"1,07669450000003053";"3,26849870000024";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1083_MSI_TV_v1_Vset2_Aset2_2024-04-10_14h07.08.183.csv";"children";"v1"
"CBC_1083";"3";"easy";"0,90";"0,951219512195122";"0,882352941176471";"1,000000000000000";"1,58722918292751";"1,05368110000017623";"2,66403530000116";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1083_MSI_AV_v1_Vset3_Aset2_2024-04-10_14h59.38.518.csv";"children";"v1"
"CBC_1084";"1";"hard";"0,95";"0,619047619047619";"0,000000000000000";"0,833333333333333";"2,18659487857096";"1,22280909999972209";"3,83857710000029";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1084_MSI_TV_v1_Vset6_Aset2_2024-02-29_13h33.49.909.csv";"children";"v1"
"CBC_1084";"3";"easy";"0,95";"0,902439024390244";"0,500000000000000";"1,000000000000000";"2,53412121707320";"0,94661079999968933";"3,88403720000042";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1084_MSI_AV_v1_Vset4_Aset1_2024-02-29_14h27.29.093.csv";"children";"v1"
"CBC_1086";"1";"easy";"0,90";"0,952380952380952";"0,500000000000000";"1,000000000000000";"1,73622313095211";"0,91870259999996051";"3,54725659999895";"0,0000000000000000";"0,0238095238095238";;;"av";"env";"CBC_1086_MSI_AV_v1_Vset4_Aset2_2024-04-23_16h20.43.546.csv";"children";"v1"
"CBC_1086";"2";"hard";"0,80";"0,928571428571429";"0,000000000000000";"0,928571428571429";"1,65864488571517";"1,08380170000054932";"2,53622350000114";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1086_MSI_TV_v1_Vset5_Aset1_2024-04-23_16h29.43.384.csv";"children";"v1"
"CBC_1095";"2";"hard";"0,90";"0,825000000000000";"0,500000000000000";"1,000000000000000";"2,89784994749979";"1,10622539999985747";"4,80642239999952";"0,0476190476190476";"0,0000000000000000";;;"tv";"vib";"CBC_1095_MSI_TV_v1_Vset1_Aset1_2024-05-01_13h52.28.526.csv";"children";"v1"
"CBC_1095";"3";"easy";"0,90";"1,000000000000000";"1,000000000000000";"1,000000000000000";"2,40851464390209";"1,13703919999989012";"4,54260410000006";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1095_MSI_AV_v1_Vset3_Aset2_2024-05-01_14h41.11.088.csv";"children";"v1"
"CBC_1098";"1";"easy";"0,95";"0,761904761904762";"0,000000000000000";"0,761904761904762";"2,07801989523825";"0,74527530000023035";"4,62252250000029";"0,0000000000000000";"0,0238095238095238";;;"av";"env";"CBC_1098_MSI_AV_v1_Vset5_Aset1_2024-05-08_14h34.35.081.csv";"children";"v1"
"CBC_1098";"2";"hard";"0,90";"0,861111111111111";"0,833333333333333";"1,000000000000000";"2,10658592500007";"1,23889169999984006";"4,15695859999960";"0,1428571428571428";"0,0000000000000000";;;"tv";"vib";"CBC_1098_MSI_TV_v1_Vset4_Aset2_2024-05-08_14h43.06.231.csv";"children";"v1"
"CBC_1101";"2";"easy";"0,95";"0,880952380952381";"0,000000000000000";"0,962962962962963";"2,11047162142844";"1,03760630000033416";"3,46898320000037";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1101_MSI_TV_v1_Vset1_Aset1_2024-05-26_10h04.46.542.csv";"children";"v1"
"CBC_1101";"4";"easy";"0,95";"0,804878048780488";"0,250000000000000";"1,000000000000000";"1,96968230731705";"0,39339099999961036";"4,64326410000103";"0,0238095238095238";"0,0000000000000000";;;"av";"env";"CBC_1101_MSI_AV_v1_Vset3_Aset3_2024-05-26_12h37.06.924.csv";"children";"v1"
"CBC_1104";"1";"easy";"0,95";"0,976190476190476";"0,961538461538462";"1,000000000000000";"1,86184209285676";"1,11427779999939958";"3,44329600000037";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1104_MSI_AV_v1_Vset4_Aset2_2024-05-29_15h10.39.224.csv";"children";"v1"
"CBC_1104";"2";"hard";"0,95";"0,666666666666667";"0,375000000000000";"1,000000000000000";"2,80610499761871";"1,76281159999962256";"4,50035570000000";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1104_MSI_TV_v1_Vset6_Aset3_2024-05-29_15h18.48.519.csv";"children";"v1"
"CBC_1105";"2";"easy";"0,95";"0,880952380952381";"0,800000000000000";"1,000000000000000";"2,06982725238142";"0,88588280000112718";"4,23412050000024";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1105_MSI_AV_v1_Vset1_Aset1_2024-06-16_13h39.47.465.csv";"children";"v1"
"CBC_1105";"3";"hard";"0,90";"0,928571428571429";"0,000000000000000";"0,928571428571429";"2,23509350714323";"1,13188620000073570";"3,83739990000049";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1105_MSI_TV_v1_Vset2_Aset1_2024-06-16_14h26.00.273.csv";"children";"v1"
"CBC_1106";"1";"hard";"0,95";"0,738095238095238";"0,000000000000000";"0,777777777777778";"2,97723199047684";"1,90252700000110053";"3,96081520000007";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1106_MSI_TV_v1_Vset6_Aset2_2024-10-18_14h09.54.931.csv";"children";"v1"
"CBC_1106";"2";"easy";"0,95";"0,809523809523810";"0,000000000000000";"0,809523809523810";"2,40600185476229";"1,13698440000007395";"4,02766740000061";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1106_MSI_AV_v1_Vset4_Aset3_2024-10-18_14h18.25.602.csv";"children";"v1"
"CBC_1107";"2";"hard";"0,95";"0,809523809523810";"0,777777777777778";"1,000000000000000";"1,95174854285789";"0,86454320000029838";"4,44374150000112";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1107_MSI_TV_v1_Vset2_Aset2_2024-04-26_17h17.51.939.csv";"children";"v1"
"CBC_1107";"3";"easy";"0,95";"0,804878048780488";"0,666666666666667";"1,000000000000000";"2,06899551951365";"0,00904570000056992";"4,95617170000151";"0,0238095238095238";"0,0243902439024390";;;"av";"env";"CBC_1107_MSI_AV_v1_Vset3_Aset3_2024-04-26_18h01.20.643.csv";"children";"v1"
"CBC_1116";"1";"easy";"0,95";"0,475000000000000";"0,000000000000000";"0,666666666666667";"2,80647313750001";"2,20623919999979989";"5,56533480000053";"0,0476190476190476";"0,0250000000000000";;;"av";"env";"CBC_1116_MSI_AV_v1_Vset5_Aset1_2024-09-27_13h50.47.660.csv";"children";"v1"
"CBC_1116";"2";"easy";"0,95";"0,641025641025641";"0,638888888888889";"1,000000000000000";"2,74148914102539";"2,06716770000002725";"4,84645989999990";"0,0714285714285714";"0,0256410256410256";;;"tv";"vib";"CBC_1116_MSI_TV_v1_Vset4_Aset3_2024-09-27_13h59.22.080.csv";"children";"v1"
"CBC_1133";"1";"easy";"0,95";"0,615384615384615";"0,000000000000000";"0,678571428571429";"2,61992017179494";"1,30680359999951179";"4,57466730000033";"0,0714285714285714";"0,0000000000000000";;;"av";"env";"CBC_1133_MSI_AV_v1_Vset3_Aset2_2024-10-11_14h20.04.910.csv";"children";"v1"
"CBC_1133";"3";"easy";"0,95";"0,650000000000000";"0,000000000000000";"0,676470588235294";"2,69264874999972";"-0,01222870000128751";"4,39850920000026";"0,0476190476190476";"0,0000000000000000";;;"tv";"vib";"CBC_1133_MSI_TV_v1_Vset2_Aset1_2024-10-11_15h17.15.320.csv";"children";"v1"
"CBC_1149";"3";"easy";"0,95";"0,500000000000000";"0,333333333333333";"1,000000000000000";"2,31104907500135";"0,17162250000001222";"6,82925300000170";"0,0476190476190476";"0,0250000000000000";;;"av";"env";"CBC_1149_MSI_AV_v1_Vset3_Aset2_2024-11-02_14h39.25.429.csv";"children";"v1"
"CBC_1149";"4";"easy";"0,95";"0,585365853658537";"0,000000000000000";"0,714285714285714";"2,50124555365885";"0,66260539999893808";"3,93434140000136";"0,0238095238095238";"0,0000000000000000";;;"tv";"vib";"CBC_1149_MSI_TV_v1_Vset5_Aset2_2024-11-02_14h54.25.240.csv";"children";"v1"
