ID,version,group,gender,age,handedness
CBC_P004,v1,Pilot Erw,f,28.53,right
CBC_P005,v1,Pilot Erw,m,29.474,right
CBC_P006,v1,Pilot Erw,f,30.904,right
CBC_P007,v1,Pilot Erw,f,29.05,right
CBC_P009,v1,Pilot Erw,f,27.601,ambidexterous
CBC_P010,v1,Pilot Erw,f,28.459,left
CBC_P013,v1,Pilot Erw,f,23.459,right
CBC_P014,v1,Pilot Erw,f,23.289,right
CBC_P015,v1,Pilot Erw,f,24.454,right
CBC_P016,v1,Pilot Erw,f,22.619,right
CBC_P017,v1,Pilot Erw,m,25.993,right
CBC_P018,v1,Pilot Erw,f,22.261,right
CBC_P019,v1,Pilot Erw,m,24.716,right
CBC_P020,v1,Pilot Erw,f,29.419,right
CBC_P022,v1,Pilot Erw,f,23.754,right
CBC_P026,v1,Pilot Erw,m,24.478,right
CBC_P027,v1,Pilot Erw,m,25.504,left
CBC_P029,v1,Pilot Erw,f,24.596,right
CBC_P030,v1,Pilot Erw,f,19.021,right
CBC_P031,v1,Pilot Erw,m,23.967,right
CBC_P034,v1,Pilot Erw,f,25.419,right
CBC_P035,v1,Pilot Erw,f,24.667,right
CBC_P036,v1,Pilot Erw,f,22.064,right
CBC_P037,v1,Pilot Erw,f,25.285,right
CBC_P038,v1,Pilot Erw,m,21.977,right
CBC_P039,v1,Pilot Erw,f,19.401,right
CBC_P040,v1,Pilot Erw,m,25.337,left
CBC_P041,v1,Pilot Erw,m,28.074,right
