ID,session,version,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_alpha2,sim_alpha22,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,sim_delta1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL,fit_delta1,accuracy,probFB,model
101,1,v1,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.51394334377269,0.773165052079297,0.870427685724813,NA,0.321726761030508,4.64603888257806,4.83041495746356,0.5,NA,CBC2StepAsymRW,CBCdriftDiffusionLR,0.5,0.650025754233614,0.701483022474411,0.390871343968232,NA,0.36363620742476,4.45507406496143,3.81894477356461,0.5,-6.38397331471529,NA,0.9523809523809523,1,CBC2StepAsymRW_CBCdriftDiffusionLR
101,1,v1,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.77770241057382,NA,0.237541220034912,NA,2.52555203818569,14.486237970645,4.89040445561957,0.5,NA,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.99755682946469,NA,0.321281896531095,NA,2.50440740842429,11.4885568086881,4.5269783384893,0.5,-57.4595728936779,NA,0.9285714285714286,1,CBC2StepRW_CBCdriftDiffusionLR
101,1,v1,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.848817697268579,NA,NA,NA,0.446780678627365,5.42307669132334,2.10160371442565,0.5,0.178895924920998,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.340740958667736,NA,NA,NA,0.468422201506762,6.32031595740391,1.74844943716705,0.5,-16.8634756644266,0.989130849103913,0.9047619047619048,1,CBCpearceHall_CBCdriftDiffusionLR
101,1,v1,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.154162842379672,0.740049696515405,NA,NA,1.01095054099986,8.00609090070447,1.05829984994168,0.5,NA,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.222332373864212,0.981630334792408,NA,NA,0.991696349898624,6.90784825017912,1.34198706853591,0.5,-32.3123051294607,NA,0.8571428571428571,1,CBCsimpleAsymRW_CBCdriftDiffusionLR
101,1,v1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.180269688876769,NA,NA,NA,0.352583152016586,6.94827789747517,3.89973571676859,0.5,NA,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.151970892848661,NA,NA,NA,0.403233752810011,8.06709483145673,3.42003171102275,0.5,30.5723109471929,NA,0.8809523809523809,1,CBCsimpleRW_CBCdriftDiffusionLR
101,1,v3,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.773165052079297,0.870427685724813,0.00804694852981791,0.309735925505204,1.68764702818626,14.3640560904884,3.05246684907155,0.5,NA,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998584943516287,0.967954213296812,0.081123145230154,0.982977968728516,1.67823692238329,13.0609504860681,3.65798326390482,0.5,-32.3280468815418,NA,0.9772727272727273,1,CBCbothPairsAsymRW_CBCdriftDiffusionLR
101,1,v3,CBCbothPairsAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.20868119224748,0.995687944543529,0.246645831917313,0.110053158610883,0.657689554966517,7.53480357397508,2.82448726089345,0.5,NA,CBCbothPairsAsymRW,CBCdriftDiffusionLR_pwBelief,0.5,0.360053313336094,0.98726012908849,0.128391464410949,0.316511387746064,0.607953339943788,8.2578325699855,3.94354809811363,0.5,-41.2993480681608,NA,0.9772727272727273,1,CBCbothPairsAsymRW_CBCdriftDiffusionLR_pwBelief
101,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.740049696515405,NA,0.263315015185135,NA,0.716239674425115,8.00609090070447,1.05829984994168,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.990187098216875,NA,0.302034333772495,NA,0.708193573939308,8.25433968290556,1.34781704635122,0.5,-50.019401322136,NA,0.9090909090909091,1,CBCbothPairsRW_CBCdriftDiffusionLR
101,1,v3,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.73252069814195,NA,0.636199993832868,NA,0.527536208275983,0.418616832922988,2.20068023929595,0.5,NA,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.978784890759665,NA,0.999220542485383,NA,0.470987832380211,0.37495179982138,2.31987713652662,0.5,75.5469892702446,NA,0.6818181818181818,1,CBCbothPairsRW_CBCdriftDiffusionLR_pwBelief
101,1,v3,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.178895924920998,NA,NA,NA,2.59180778262516,5.42307669132334,2.10160371442565,0.5,0.0543632143064314,CBCpearceHall,CBCdriftDiffusionLR,0.5,0.0347433321001778,NA,NA,NA,2.6040884169374,5.92787754297179,2.04768072108689,0.5,27.8582059044614,0.0921031273678182,0.8863636363636364,1,CBCpearceHall_CBCdriftDiffusionLR
