ID,filename,session,trial,mod2Type,stimPair,triplet,matchingPair,nonMatchingPair,frequency,reactionTime,version,run,simpleSurprise,nonMatchPairSurprise,group
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,1,aud,0A,NA,NA,NA,0.5,2.97666150000441,v1,MR,2.19722457733622,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,2,aud,1C,NA,NA,NA,0.35,2.41118660000939,v1,MR,2.30258509299405,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,3,aud,0B,NA,NA,NA,0.35,2.30901150000136,v1,MR,2.39789527279837,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,4,aud,2C,NA,NA,NA,0.5,2.37695540000277,v1,MR,2.484906649788,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,5,aud,1B,NA,NA,NA,0.5,2.37050400000589,v1,MR,2.56494935746154,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,6,aud,2A,NA,NA,NA,0.35,2.71724350000295,v1,MR,2.63905732961526,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,7,aud,0B,NA,NA,NA,0.35,2.4682526000106,v1,MR,2.01490302054226,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,8,aud,2C,NA,NA,NA,0.5,2.64726230000815,v1,MR,2.07944154167984,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,9,aud,0A,NA,NA,NA,0.5,2.02688390000549,v1,MR,2.14006616349627,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,10,aud,1C,NA,NA,NA,0.35,2.1064358000076,v1,MR,2.19722457733622,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,11,aud,0A,NA,NA,NA,0.5,1.81094950000261,v1,MR,1.84582669049833,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,12,aud,1B,NA,NA,NA,0.5,2.77386060000572,v1,MR,2.30258509299405,NA,adults
CBC_P004,CBC_P004_AV_prob0.8_Vset2_Aset3_2023-03-15_16h49.57.461.csv,1,13,aud,0C,NA,NA,NA,0.15,2.65226440000697,v1,MR,3.04452243772342,NA,adults
